order_id,order_item_id,customer_id,creation_date,completion_date,product_id,qnt,cost,category_id
1,1,609,2018-01-07 20:53:16,2018-01-10 08:44:13,htc3,3,220,HTC
2,1,102,2018-01-02 15:23:12,2018-01-23 17:03:59,app3,3,520,Apple
3,1,976,2018-01-03 16:11:45,2018-01-27 06:18:32,sam3,3,20,Samsung
3,2,976,2018-01-04 03:08:13,2018-01-26 19:30:49,htc2,2,110,HTC
3,3,976,2018-01-04 00:55:59,2018-01-19 11:39:37,htc2,1,110,HTC
4,1,143,2018-01-05 01:03:23,2018-01-14 08:34:24,sam2,3,150,Samsung
4,2,143,2018-01-06 06:51:19,2018-01-24 11:14:04,sam1,3,200,Samsung
4,3,143,2018-01-07 10:25:38,2018-01-16 20:34:22,sam1,1,200,Samsung
5,1,73,2018-01-07 13:10:40,2018-01-29 16:11:18,app2,2,10,Apple
5,2,73,2018-01-04 23:01:17,2018-01-23 07:27:02,app2,2,10,Apple
5,3,73,2018-01-04 19:51:53,2018-01-19 12:13:31,htc2,3,110,HTC
5,4,73,2018-01-03 19:02:36,2018-01-09 23:57:26,app3,3,520,Apple
6,1,255,2018-01-03 08:49:34,2018-01-14 01:34:59,sam3,2,20,Samsung
6,2,255,2018-01-08 09:06:37,2018-01-31 04:19:37,htc3,1,220,HTC
6,3,255,2018-01-07 14:34:34,2018-01-09 09:46:43,htc3,2,220,HTC
6,4,255,2018-01-05 00:26:00,2018-01-29 03:41:47,htc3,2,220,HTC
7,1,893,2018-01-04 11:29:18,2018-01-14 00:31:36,htc2,2,110,HTC
7,2,893,2018-01-03 15:39:23,2018-01-11 14:07:54,htc2,3,110,HTC
8,1,532,2018-01-05 11:47:14,2018-01-17 19:08:22,app1,3,300,Apple
8,2,532,2018-01-02 21:33:01,2018-01-25 07:06:00,htcone,2,100,HTC
8,3,532,2018-01-03 23:58:27,2018-01-22 10:47:47,app3,2,520,Apple
9,1,332,2018-01-06 03:28:56,2018-01-11 06:47:23,htc2,1,110,HTC
9,2,332,2018-01-03 10:18:35,2018-01-27 03:12:03,app3,3,520,Apple
9,3,332,2018-01-08 21:16:07,2018-01-19 17:54:05,app3,1,520,Apple
9,4,332,2018-01-02 08:55:49,2018-01-16 20:28:46,app2,1,10,Apple
10,1,998,2018-01-05 17:37:47,2018-01-17 02:45:59,app1,3,300,Apple
10,2,998,2018-01-01 00:05:20,2018-01-25 04:04:33,htc2,3,110,HTC
11,1,865,2018-01-01 20:41:02,2018-01-23 12:34:04,sam3,2,20,Samsung
11,2,865,2018-01-07 07:35:52,2018-01-21 17:38:29,htc3,3,220,HTC
12,1,263,2018-01-02 23:26:01,2018-01-25 05:43:34,htc2,2,110,HTC
12,2,263,2018-01-01 09:33:08,2018-01-19 08:56:36,app3,2,520,Apple
12,3,263,2018-01-01 12:06:07,2018-01-18 08:53:41,sam3,2,20,Samsung
13,1,396,2018-01-01 03:36:53,2018-01-26 08:22:09,htc2,2,110,HTC
13,2,396,2018-01-03 19:21:57,2018-01-12 18:24:01,sam2,1,150,Samsung
13,3,396,2018-01-05 05:39:23,2018-01-31 05:11:46,sam2,3,150,Samsung
13,4,396,2018-01-08 00:10:45,2018-01-29 08:52:41,sam1,3,200,Samsung
14,1,805,2018-01-08 08:44:53,2018-01-11 10:07:24,sam3,2,20,Samsung
14,2,805,2018-01-05 01:57:43,2018-01-20 14:02:20,htcone,1,100,HTC
15,1,318,2018-01-07 07:42:45,2018-01-21 23:53:37,app2,2,10,Apple
15,2,318,2018-01-01 19:35:07,2018-01-13 15:23:52,htcone,1,100,HTC
15,3,318,2018-01-07 11:50:10,2018-01-10 10:33:02,htc2,3,110,HTC
15,4,318,2018-01-07 01:01:39,2018-01-11 17:40:00,app3,1,520,Apple
16,1,133,2018-01-08 11:25:21,2018-01-11 03:28:20,sam2,1,150,Samsung
16,2,133,2018-01-06 14:29:35,2018-01-21 12:56:24,htcone,3,100,HTC
16,3,133,2018-01-01 00:12:47,2018-01-22 04:57:26,htc2,2,110,HTC
16,4,133,2018-01-07 08:05:52,2018-01-21 05:06:27,sam2,3,150,Samsung
17,1,465,2018-01-03 21:49:37,2018-01-12 03:57:17,app1,2,300,Apple
17,2,465,2018-01-02 15:22:20,2018-01-31 23:06:26,app2,3,10,Apple
18,1,139,2018-01-07 04:58:08,2018-01-20 21:30:43,htcone,3,100,HTC
19,1,296,2018-01-02 12:31:22,2018-01-31 16:01:53,htc2,1,110,HTC
19,2,296,2018-01-08 18:18:19,2018-01-10 14:27:30,htcone,3,100,HTC
20,1,230,2018-01-01 15:28:42,2018-01-28 18:59:09,app2,3,10,Apple
20,2,230,2018-01-06 23:09:52,2018-01-17 22:58:41,sam2,3,150,Samsung
20,3,230,2018-01-07 21:01:36,2018-01-29 00:56:02,app2,1,10,Apple
